Designator,Mid X,Mid Y,Rotation,Layer
A1,127.25,-70.37,180.0,bottom
A2,137.19,-58.15,90.0,top
A3,137.43,-79.65,90.0,top
C1,131.8,-58.062651,90.0,top
C2,132.04,-79.562651,90.0,top
J1,137.53,-68.3,90.0,top
J10,116.5,-83.19,180.0,top
J11,99.0,-68.005,180.0,top
J2,142.92,-80.5,270.0,top
J3,142.96,-78.0,270.0,top
J4,99.0,-81.505,180.0,top
J5,137.31,-89.5,90.0,top
J6,142.5,-59.0,270.0,top
J7,142.5,-56.5,270.0,top
J8,116.5,-67.5,180.0,top
J9,116.5,-53.995,0.0,top
U1,105.55,-83.0,270.0,top
